First Name, Second Name, Phone Number, Address, Website URL
Vladimir, Bazhanov, +79375295454, Pushkina 46, http://flatstack.com
Ivan, Ivanov, +7 977 77 77 777, Unknown street 46, http://google.com
Petr, Sergeev, , Pobedy 105, http://yandex.ru
Nikita, Andreev, +79375295624, Pushkina 45, http://flatstack.com
Dina, Ivanova, +7 977 73 77 777, Unknown street, 16, http://google.com
Vera, Sergeeva, , Pobedy 105, http://yandex.ru
Sagit, Bazhanov, +79375295624, Pushkina 18, http://flatstack.com
Egor, Ivanov, +7 796 77 77 777, Unknown street 46, http://google.com
Askar, Sergeev, , Pobedy 105, http://yandex.ru
Jungkook, Jeon, +79375295624, School 111, http://flatstack.com
Lisa, Aveme, +7 977 77 79 777, Unknown street 46, http://google.com
Albert, Park, , Pobedy 105, http://yandex.ru
Rose, Park, +79375299624, Pushkina 46, http://flatstack.com
Lili, Lee, +7 756 77 77 777, Unknown street 436, http://google.com
